Address,City,Numbe_Bedrooms,Number_bathrooms,Year Built,Total_Rooms,Lot Area,Price
"5450, Avenue des Sapins",Montréal (Rosemont/La Petite-Patrie),6,4,1955,10,5155,1649000
"3605, Avenue Northcliffe",Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce),5,4,1921,14,2992,1795000
"433, Avenue Lazard",Mont-Royal,5,6,1913,23,10640,3999900
"36, Rue de Shediac",Kirkland,5,3,1976,10,6000,849000
"251, Rue Saint-Raphaël",Montréal (L'Île-Bizard/Sainte-Geneviève),5,4,1992,13,11740,1350000
"92, Rue Audubon",Dollard-Des Ormeaux,4,2,1984,9,7321,719000
"6585, boulevard Lavoisier",Montréal (Saint-Léonard),3,3,1999,11,9338,959000
"2251, Rue Charles-Darwin",Montréal (Saint-Laurent),3,3,2000,11,2491,1195000
"92, Rue Audubon",Dollard-Des Ormeaux,4,2,1984,9,7321,719000
"3125, Le Blvd",Montréal ,4,3,1960,7,2145,1495000
"1820, Rue Filion",Montréal (Saint-Laurent),6,2,1952,9,4750,775000
"1095, Rue Deguire",Montréal (Saint-Laurent),3,2,1951,7,4246,489000
"3605, Avenue Northcliffe",Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce),5,4,1921,14,2992,1795000
"200, Rue Saint-Raphaël",Montréal (L'Île-Bizard/Sainte-Geneviève),6,4,1994,20,14233,1498000
"6900, Avenue Jean-Bourdon",Montréal (Ahuntsic-Cartierville),4,3,1966,8,5909,880000
"874, Rue Bertrand",Montréal (Saint-Laurent),4,2,1954,11,6370,749000
"215, Chemin Edgehill",Westmount,6,6,1946,20,6645,4500000
"17, Avenue Severn",Westmount,2,3,1928,10,3851,2150000
"15, Avenue Oakland",Westmount,4,3,1956,10,9435,6995000
"68, Chemin Belvedere",Westmount,5,5,1926,12,17540,4498000
"36, Chemin Edgehill",Westmount,5,5,1929,20,5309,3998000
"381, Avenue Claremont",Westmount,7,4,1895,12,2073,1599000
"28, Avenue Burton",Westmount,3,1,1894,8,1981,1149000
"3186, boulevard The Boulevard",Westmount,6,6,1911,22,5063,5995000
"627, Avenue Lansdowne",Westmount,5,4,1926,8,3450,1995000
"8, Avenue Forden",Westmount,9,7,1890,20,12785,11750000
"355, Avenue Olivier",Westmount,5,4,1897,17,3360,2250000
"5, Chemin Belfrage",Westmount,4,4,1925,14,2525,1790000
"4488, Rue Sherbrooke Ouest",Westmount,5,3,1900,15,2612,1350000
"3712, boulevard The Boulevard",Westmount,6,5,1939,13,8766,6900000
"657, Avenue Lansdowne",Westmount,5,4,1924,10,3569,1875000
"380, Avenue Lansdowne",Westmount,4,2,1910,11,3724,1925000
"4306, Avenue Montrose",Westmount,4,4,1963,18,5479,3250000
"4549, Rue Sherbrooke Ouest",Westmount,4,4,1900,9,3614,2150000
"463, Rue Crescent",Saint-Lambert ,4,3,1916,11,3178,945000
"465, Rue Upper Edison",Saint-Lambert ,3,3,1999,10,1951,699000
280 Rue Saint-Georges,Saint-Lambert ,3,1,1942,8,4515,815000
"427 - 429, Rue Logan",Saint-Lambert ,4,2,1924,9,8108,1369900
"232, Rue Terroux",Saint-Lambert ,5,4,2004,11,5063,2288000
"232, Avenue Putney",Saint-Lambert ,4,5,1959,24,10000,1495000
"210, boulevard Queen",Saint-Lambert ,3,4,1950,20,6600,1845000
"115, boulevard de Montrose",Saint-Lambert ,5,3,1956,25,18535,2300000
"237, Avenue Edison",Saint-Lambert ,3,1,1896,8,5500,949000
"305, Avenue Birch",Saint-Lambert ,5,4,1950,20,5766,1599000
"20, Avenue de Lombardie",Saint-Lambert ,5,4,1875,11,59722,950000
"97, Avenue de la Gironde",Saint-Lambert ,4,3,1980,15,10466,925000
"165, Rue Green",Saint-Lambert ,4,3,1960,8,5005,965000
"229, Avenue des Pyrénées",Saint-Lambert ,4,2,1968,9,6000,929000
"262, Avenue Edison",Saint-Lambert ,5,3,1918,17,5726,1535000
"238, Avenue Oak",Saint-Lambert ,3,3,1923,15,2842,939000
"195, Chemin Tiffin",Saint-Lambert ,4,3,1974,13,6243,1075500
"5122, boulevard Lalande",Montréal (Pierrefonds-Roxboro),4,3,2004,8,2893,599000
"65, 4e Avenue Nord",Montréal (Pierrefonds-Roxboro),4,1,1952,8,5600,399000
"4558, Rue Foster",Montréal (Pierrefonds-Roxboro),3,2,1987,11,4650,595000
"4955, Rue Taillefer",Montréal (Pierrefonds-Roxboro),5,4,2008,11,6734,1280000
"4920, Rue des Cageux",Montréal (Pierrefonds-Roxboro),3,3,1988,7,3261,489000
"13251, Rue Sauriol",Montréal (Pierrefonds-Roxboro),4,2,1961,8,6020,499000
"18459, Rue Meloche",Montréal (Pierrefonds-Roxboro),3,2,1992,10,2583,470000
"13260, Rue Aragon",Montréal (Pierrefonds-Roxboro),4,2,1969,12,7541,549000
"5100, Rue De Gaulle",Montréal (Pierrefonds-Roxboro),2,1,1947,5,3517,259000
"5079, Rue Aquila",Montréal (Pierrefonds-Roxboro),4,2,1956,6,5950,479500
"7027, Rue Apple Blossom",Montréal (Pierrefonds-Roxboro),4,2,1985,8,5632,599000
"55, 6e Avenue",Montréal (Pierrefonds-Roxboro),6,4,2021,13,5000,1029000
"36, Rue Deslauriers",Montréal (Pierrefonds-Roxboro),4,4,2021,11,5000,1120000
"4955, Rue Saint-Gabriel",Montréal (Pierrefonds-Roxboro),4,3,1963,14,5425,709000
"31, Rue de l'Île-Barwick",Montréal (Pierrefonds-Roxboro),5,6,1977,17,9667,1375000
"11762, boulevard Riverdale",Montréal (Pierrefonds-Roxboro),3,2,2003,10,5198,539000
"12703, Rue Senay",Montréal (Pierrefonds-Roxboro),4,3,1988,10,4412,699900
"640, Chemin de la Rive-Boisée",Montréal (Pierrefonds-Roxboro),7,5,2005,20,24556,3590000
"133, Avenue Duke-of-Kent",Pointe-Claire,6,5,2021,27,11850,1581765
"169, Avenue Sunnyside",Pointe-Claire,4,2,1952,12,6300,629000
"97, Avenue Hastings",Pointe-Claire,6,4,2021,10,4849,1098000
"231, Chemin du Bord-du-Lac-Lakeshore",Pointe-Claire,2,3,1958,11,7740,949000
"136, Avenue de Dieppe",Pointe-Claire,7,5,2015,22,8886,1580000
"44, Avenue des Frênes",Pointe-Claire,4,3,2019,8,2573,728000
"144, Avenue d' Ivanhoe Crescent",Pointe-Claire,3,2,1955,10,7500,675000
"448, Avenue Saint-Louis",Pointe-Claire,2,2,1946,8,18000,1299000
"130, Avenue Crestview",Pointe-Claire,4,2,1962,9,5400,459000
"292, Avenue Inglewood",Pointe-Claire,2,3,1955,10,7500,525000
"95, Avenue Hastings",Pointe-Claire,6,4,2021,10,4849,1123000
"15, Chemin du Bord-du-Lac-Lakeshore",Pointe-Claire,3,3,1925,8,16819,999999
"124, Avenue Empress",Pointe-Claire,4,2,1959,9,5995,639900
"29, Avenue Tampico",Pointe-Claire,5,2,1959,12,7085,749000
"31, Avenue de la Baie-de-Valois",Pointe-Claire,4,2,1934,12,4635,549000
"99, Avenue Hastings",Pointe-Claire,6,4,2021,10,4849,1078000
"236, Avenue Strathcona",Pointe-Claire,6,3,1998,14,4767,798000
"11, Avenue Westfield",Pointe-Claire,4,3,1987,10,6000,849900
"123, Avenue Chaucer",Pointe-Claire,3,2,1986,6,2200,469000
"123, Avenue Viking",Pointe-Claire,4,2,1960,13,7512,509000
"1406, boulevard Céloron",Blainville,3,2,2001,8,4332,398000
"35, Rue Joseph-Bepka",Blainville,2,1,1955,5,7604,274900
"19, Rue de Brissac",Blainville,6,4,1998,22,15455,1698000
"34, 27e Avenue Ouest",Blainville,6,2,1957,13,9409,375000
"33, Rue de Montagny",Blainville,3,3,2018,9,8099,1150000
"32, 92e Avenue Ouest",Blainville,5,2,1976,12,9660,485900
"22, Rue de Franchimont",Blainville,4,4,2001,13,11893,1175000
"7, Rue des Lilas",Blainville,4,2,1971,11,4414,299000
"20, Rue Roméo-Pilon",Blainville,3,2,2003,11,8237,449000
"12, Rue des Cormiers",Blainville,4,2,2011,12,5976,559000
"31, Rue des Écorces",Blainville,3,2,1996,10,7423,329000
"588, Rang Saint-François",Blainville,4,3,1998,14,32292,719000
"56, Rue Marcel-Vidal",Blainville,5,2,2003,13,4439,429900
"16 - 16A, Rue Réal-Benoit",Blainville,4,1,1991,9,5522,499900
"32, Rue de Cheverny",Blainville,5,3,1996,17,10419,939000
"7, Rue Yvan",Blainville,4,2,1968,13,6480,375000
"22, Rue Jean-Marc-Dansro",Blainville,4,1,1988,11,5030,374999
"33, Rue des Tournois",Blainville,3,3,2002,18,20243,969900
"19, Montée Oudart",Blainville,5,2,2002,13,9289,549000
"273, Rue De Tonnancour",Vaudreuil-Dorion,3,3,2011,10,4400,475000
"141, Rue Adam",Vaudreuil-Dorion,5,2,1987,12,7700,399800
"457, Rue Esther-Blondin",Vaudreuil-Dorion,3,1,1956,6,10500,439000
"561, Rue Long",Vaudreuil-Dorion,4,2,1962,16,5680,525000
"167, Rue Jacques-Hétu",Vaudreuil-Dorion,4,3,2018,13,5317,850000
"206, Rue Bellini",Vaudreuil-Dorion,3,2,2012,8,3609,429900
"2665, Rue des Floralies",Vaudreuil-Dorion,3,2,1994,13,3391,449000
"3396, Route Harwood",Vaudreuil-Dorion,3,2,1850,11,82581,1549000
"6100, Rue Boulay",Vaudreuil-Dorion,4,2,2017,12,37922,545000
"3641, Rue Lomer-Gouin",Vaudreuil-Dorion,3,2,2002,7,5355,499000
"202, Rue Galt",Vaudreuil-Dorion,3,2,1945,10,5000,349000
Rue des Cerisiers,Vaudreuil-Dorion,4,5,2021,18,30064,1100000
"333, Rue De Tonnancour",Vaudreuil-Dorion,3,3,2010,10,3462,509000
"2667, Rue Justine-Poirier",Vaudreuil-Dorion,3,2,2002,8,4646,485000
"143, Rue Bizet",Vaudreuil-Dorion,3,2,2010,7,286,450000
"700, Route de la Cité des Jeunes",Vaudreuil-Dorion,3,2,2021,6,20668,640000
"545, Chemin de l'Anse",Vaudreuil-Dorion,7,7,1993,30,95396,5600000
"5590, boulevard Saint-Joseph",Lachine,6,5,2010,15,10069,2698000
"655, 25e Avenue",Lachine,4,3,1930,14,3274,699000
"399, 36e Avenue",Lachine,4,2,1978,11,5148,699000
"715, 7e Avenue",Lachine,3,1,1910,9,4114,575000
"4655, Rue Acadia",Lachine,4,2,1950,14,7400,750000
"47, Avenue Jolicoeur",Lachine,4,2,1909,11,4750,419000
"340, 50e Avenue",Lachine,3,2,1951,8,5000,689000
"52, Avenue Hillcrest",Lachine,4,2,1924,6,1388,498900
"450, Avenue Jenkins",Lachine,5,3,2019,11,2589,798888
"288, 34e Avenue",Lachine,3,1,1925,9,3200,449900
"168, Avenue Milton",Lachine,4,4,2011,14,1749,659000
"525, 5e Avenue",Lachine,1,1,1915,3,1875,279000
"758, 13e Avenue",Lachine,2,1,1945,9,4774,499000
"3050, Terrasse J.-S.-Aimé-Ashby",Lachine,3,2,1995,7,1974,525000
"821, 44e Avenue",Lachine,4,3,1984,10,8191,995000
"2890, Terrasse J.-S.-Aimé-Ashby",Lachine,3,3,1998,11,2338,774900
"80, Chemin de LaSalle",Lachine,3,3,1883,18,10015,1279900
"1455, Rue Antonio",Laval ,2,1,1951,7,6994,425000
"4898, Rue Churchill",Laval ,3,3,1980,13,2445,459000
"126, Rue Leduc",Laval ,3,2,1969,7,5000,429000
"165, Rue Saint-Judes",Laval ,4,3,1983,13,2975,429900
"4650, Avenue Louis-Payette",Laval ,3,3,1991,13,4719,569900
"2142, Rue Gosselin",Laval ,3,2,1983,11,4601,375000
"1780, Rue Maurice-Gauvin",Laval ,5,1,1952,8,10000,650000
"5348, Avenue Clarendon",Laval ,3,3,1987,10,2803,489000
"176, Rue Saint-Judes",Laval ,5,3,1965,13,4500,689000
"4643, boulevard Cleroux",Laval ,3,2,1994,11,3170,550000
"4778, Rue Du Tremblay",Laval ,4,2,1971,7,3246,449000
"2990, Rue Chateaubriand",Laval ,4,3,2007,12,5565,859000
"4580, boulevard du Souvenir",Laval ,3,3,1974,11,2742,488000
"1973, Rue de la Victoire",Laval ,5,3,1963,16,4368,545000
"5128, Avenue Charlevoix",Laval ,4,3,1966,10,11740,588500
"4403, Rue Hamelin",Laval ,2,2,1983,9,3186,365000
"1372, Rue Ethier",Laval ,3,2,1990,9,3060,449900
"1850, Rue de Madère",Laval ,4,2,1988,9,4823,599900
"756, boulevard Samson",Laval,4,2,1984,10,7594,697900
"1070, boulevard de l'Hôtel-de-Ville",Laval,3,3,1997,13,2565,429000
"301, Rue Boulanger",Laval,5,3,2009,12,3498,699000
"487, Rue Toussaint",Laval,3,2,1993,11,2734,549000
"468, Rue de Saint-Servan",Laval,4,4,2004,10,4735,850000
"768, Avenue Josaphat-Demers",Laval,3,3,2001,7,3786,659000
"67, Chemin du Tour",Laval,3,1,1954,13,15531,650000
"174, Rue Lamarche",Laval,3,3,2004,7,3495,689000
"32 - 34, Chemin du Bord-de-l'Eau",Laval,4,2,1956,8,11882,642600
"1630, Rue Islemere",Laval,5,3,1987,11,7700,799000
"54, Chemin du Bord-de-l'Eau",Laval,3,2,1937,7,11970,685650
"771, Rang Saint-Antoine",Laval,3,1,1955,6,16326,399000
"774, Rue Paul-Gauguin",Laval,5,3,1997,15,9129,889000
"856, Terrasse Lecavalier",Laval,6,3,1959,17,7605,479000
"510, Rue Jetté",Laval,5,4,1998,20,19190,1299999
"965, Montée Champagne",Laval,6,6,2017,26,6000,1100000
"1106, Chemin du Bord-de-l'Eau",Laval,4,6,2020,18,12296,2300000
"321, Rue Malouin",Laval,3,2,2003,11,3940,649800
"8, Rue Becquet",Laval ,3,2,1990,11,3998,409900
"327, Rue Miron",Laval ,4,2,1987,12,2646,449000
"1, Terrasse Bélanger",Laval ,2,1,1956,7,8445,225000
"1166, Rue Pierre-Quenneville",Laval ,4,3,2000,7,4537,549000
"413, Rue Jean-Brouillet",Laval ,3,2,1995,9,3079,489000
"48, Rue L'Auberivière",Laval ,4,1,1966,6,5539,469000
"1262, Rue Armand-Auclair",Laval ,3,2,1997,9,3300,399900
"2276, Chemin de la Petite-Côte",Laval ,4,2,2007,7,4087,629000
"2425, Rue de l'Eider",Laval ,4,3,1989,14,5045,729900
"6740, Rue Jean-Paul-Lemieux",Laval ,4,3,1999,11,3723,569000
"6226, Rue des Sizerins",Laval ,4,2,1997,14,4197,624000
"8, Rue Notre-Dame-de-Laval",Laval ,4,2,1977,12,6381,335000
"2325, Rue des Patriotes",Laval ,5,3,1976,15,6768,689900
"46, Rue L'Auberivière",Laval ,4,2,1963,8,5530,379900
"314, Rue Desparois",Laval ,3,2,1986,11,4542,399000
"1881, Rue des Becs-Scies",Laval ,2,2,1994,8,3363,399000
"24, Rue Lortie",Laval ,4,2,1930,8,7225,549000
"11, Rue de la Belle-Plage",Laval ,1,1,1955,5,2768,199000
"36, Rue Lortie",Laval ,4,2,1945,12,3175,299995
"6525, Avenue des Perruches",Laval ,4,2,1976,12,6500,675000
"38, boulevard Montcalm Sud",Candiac,4,2,1965,12,8251,538000
"7, Avenue d'Alsace",Candiac,4,4,1997,16,6004,908000
"58, Avenue Hermès",Candiac,3,2,1961,12,5700,449000
"87, Rue Flaubert",Candiac,3,2,2009,9,6214,474999
"65, Place Jason",Candiac,4,2,1976,10,6102,499000
"29, Rue de l'Estoril",Candiac,5,4,2004,22,6870,1338000
"77, Rue de Darvault",Candiac,5,3,2008,13,6408,998000
"10, Avenue Jackson",Candiac,3,2,1971,11,3060,339000
"53, Avenue de Honfleur",Candiac,4,2,1961,12,6672,388000
"235, boulevard Champlain",Candiac,4,2,1975,10,8304,509900
"75, Avenue Fouquet",Candiac,4,3,2008,10,3261,475000
"75, Rue de Syracuse",Candiac,4,2,2008,10,6116,419000
"52, Avenue de Barcelone",Candiac,4,4,1977,13,8414,899900
"273, Rue Birch",Châteauguay,2,2,1981,8,9570,380000
"214, Rue Elmridge",Châteauguay,5,4,2004,18,7879,820000
"298, boulevard D'Youville",Châteauguay,1,1,1930,4,15720,319000
"150, boulevard Salaberry Nord",Châteauguay,6,3,1962,16,20916,725000
"64, Chemin de la Haute-Rivière",Châteauguay,4,2,1970,12,11406,350000
"159, Rue Principale",Châteauguay,4,2,1958,10,7500,495000
"161, boulevard Sainte-Marguerite",Châteauguay,3,3,1971,9,3371,339000
"12, Rue Watt",Châteauguay,3,2,1950,8,3297,299000
"330, Rue Beaubien",Châteauguay,4,3,2013,13,6801,560000
"131, Rue Hébert",Châteauguay,3,2,1967,11,4950,379000
"134 - 134A, Rue Saint-Mary's",Châteauguay,2,2,1987,5,4500,359000
"92, Rue La Salle",Châteauguay,3,2,1962,10,5104,339900
"23, Rue Reid",Châteauguay,5,1,1954,7,5248,395000
"27, Rue Dorais",Châteauguay,3,2,2020,11,5247,424000
"300, boulevard Salaberry Sud",Châteauguay,6,4,2013,20,46328,1295000
"44, Rue Lalemant",Châteauguay,4,2,1964,9,5400,289000
"322, Rue Notre-Dame Nord",Châteauguay,4,4,1994,9,16001,619000
"129, Avenue Jacques-Martin",La Prairie,4,2,2008,14,6426,868000
"227, Rue Charles-Péguy Ouest",La Prairie,3,1,1965,9,6731,459000
"395, Rue Beausoleil",La Prairie,4,3,1987,10,2438,526000
"1229, Chemin du Sault-Saint-Louis",La Prairie,4,3,1768,16,19816,1150000
"140, Rue Sainte-Catherine",La Prairie,3,2,1962,13,5658,395000
"340, Rue du Monarque",La Prairie,4,4,2016,14,4808,899000
"400, Rue Marguerite-Bourgeoys",La Prairie,4,2,1999,9,4605,539000
"15, Rue des Glaïeuls",La Prairie,5,2,1990,13,6041,698000
"260, boulevard de la Fourche",La Prairie,4,3,2015,9,5248,1250000
"469, Rue Charles-Péguy Est",La Prairie,3,2,1959,11,8145,550000
"418, Chemin de Saint-Jean",La Prairie,4,2,1948,10,3425,329000
"665, boulevard de La Magdeleine",La Prairie,4,2,1981,9,6001,499000
"25, Rue des Jacinthes",La Prairie,4,2,1971,10,6000,498000
"805, Rue Sainte-Rose",La Prairie,2,1,1952,8,1709,299000
"702, Rue Deslauriers",La Prairie,2,2,1962,10,5820,449900
"565, Rue Saint-Laurent",La Prairie,3,2,2000,12,1830,449900
"191, Chemin de Saint-Jean",La Prairie,1,2,1984,7,2409,449000
"150, Rue de la Terre-de-Feu",La Prairie,4,3,2010,14,5821,699000
"115, Rue Omer-Daigneault",Mercier,4,3,2018,12,3042,470000
"47, Rue Sauvé",Mercier,2,2,1961,9,12732,349000
"3, Rue Pluton",Mercier,3,2,1977,8,6858,319900
"969, Rue Saint-Joseph",Mercier,5,2,2005,13,7241,349000
"38, Rue des Perdrix",Mercier,4,2,2005,11,9838,599000
"32, Rue Marleau",Mercier,4,2,1981,12,8921,350000
"76, Rue des Perdrix",Mercier,3,1,1996,7,4308,339000
"7, Rue des Faisans",Mercier,3,2,2003,11,7330,559000
"178, Rue Omer-Daigneault",Mercier,3,2,2018,11,2056,449000
"110, Rue de l'Église",Mercier,5,2,1976,7,7887,410000
"54, Rue des Épinettes",Mercier,5,2,1981,11,6029,345000
"2, Rue des Mélèzes",Mercier,4,2,1976,11,6951,389900
"1262, boulevard Sainte-Marguerite",Mercier,9,3,1870,18,77342,599000
"17, Rue d'Amos",Mercier,4,2,1978,11,6018,345000
"4, Rue Saint-François",Mercier,4,1,1900,8,6296,249000
"27, Rue Bourdeau",Mercier,4,2,1986,9,6619,399900
"79, Rue Mallette",Mercier,5,3,2010,18,7158,615000
"20, Rue Léopold-Savage",Mercier,4,5,2013,12,10499,1399000
"39, Rue Gaétan",Mercier,5,3,1964,12,5700,549000
"1594, boulevard Saint-Jean-Baptiste",Mercier,4,2,1955,12,315810,620000
"4080, Rue des Amarres",Sainte-Catherine,4,2,1976,9,6138,385000
"3145, boulevard Marie-Victorin",Sainte-Catherine,3,1,1959,6,7500,478000
"3945, Rue Talon",Sainte-Catherine,5,2,1999,12,7437,629900
"585, Rue Séguin",Sainte-Catherine,2,2,1995,11,3054,349900
"865, Rue Séguin",Sainte-Catherine,3,2,1994,13,2967,345000
"920, Croissant Marco-Polo",Sainte-Catherine,5,2,1991,12,6104,375000
"785, Rue Jogues",Sainte-Catherine,2,2,1971,7,3859,320000
"1305, Rue des Sarcelles",Sainte-Catherine,3,3,1998,10,5513,449000
"5585, Rue Rivard",Sainte-Catherine,5,3,2001,15,9052,978000
"1560, Rue des Merisiers",Sainte-Catherine,4,2,1976,11,6300,399000
"1540, Rue des Orioles",Sainte-Catherine,5,2,1996,12,6719,449000
"550, Rue Jogues",Sainte-Catherine,3,2,1971,8,3500,299000
"110, Rue Lamarche",Sainte-Catherine,2,3,1975,13,6608,499000
"100, Rue Villeneuve",Saint-Constant,3,2,1993,10,2086,289900
"36, Rue Morin",Saint-Constant,5,3,1987,10,8860,499000
"37, Rue Larivière",Saint-Constant,3,2,1991,11,6023,399000
"551, Rue Renoir",Saint-Constant,3,2,2018,9,2784,499000
"41, Rue Blais",Saint-Constant,4,2,1988,15,8764,695000
"26, Rue Renoir",Saint-Constant,5,3,2011,13,5357,699888
"35, Rue Saint-Philippe",Saint-Constant,4,2,1964,9,7481,474900
"61, Rue Rouvière",Saint-Constant,3,2,2017,11,2700,499000
"188, Rue Capes",Saint-Constant,4,3,2003,14,8779,699000
"385, Rue du Grenadier",Saint-Constant,3,3,2018,16,2688,485000
"47, Rue Proulx",Saint-Constant,3,2,1973,9,7700,399000
"14, Rue Cousineau",Saint-Constant,4,1,1986,8,4521,399900
"23, Rue de l'Église",Saint-Constant,5,2,1967,12,6700,499000
"62Z - 64Z, Rue Benoit",Saint-Constant,4,3,2007,11,4887,550000
"65, Rue Boisjoli",Saint-Constant,3,2,2007,9,1224,300000
"64, Rue Brosseau",Saint-Constant,3,2,2006,12,4844,489900
"444, Rue du Grenadier",Saint-Constant,3,3,2018,10,3462,469000
"229, Rue Saint-Pierre",Saint-Constant,4,2,1923,12,7107,549900
"42, Rue Bélanger",Saint-Constant,5,3,1978,11,17258,649900
"109, Rue Beaupré",Saint-Constant,6,2,1981,15,6000,585000
"115, Rue Omer-Daigneault",Mercier,4,3,2018,12,3042,470000
"47, Rue Sauvé",Mercier,2,2,1961,9,12732,349000
"3, Rue Pluton",Mercier,3,2,1977,8,6858,319900
"969, Rue Saint-Joseph",Mercier,5,2,2005,13,7241,349000
"38, Rue des Perdrix",Mercier,4,2,2005,11,9838,599000
"32, Rue Marleau",Mercier,4,2,1981,12,8921,350000
"76, Rue des Perdrix",Mercier,3,1,1996,7,4308,339000
"7, Rue des Faisans",Mercier,3,2,2003,11,7330,559000
"178, Rue Omer-Daigneault",Mercier,3,2,2018,11,2056,449000
"110, Rue de l'Église",Mercier,5,2,1976,7,7887,410000
"54, Rue des Épinettes",Mercier,5,2,1981,11,6029,345000
"2, Rue des Mélèzes",Mercier,4,2,1976,11,6951,389900
"1262, boulevard Sainte-Marguerite",Mercier,9,3,1870,18,77342,599000
"17, Rue d'Amos",Mercier,4,2,1978,11,6018,345000
"4, Rue Saint-François",Mercier,4,1,1900,8,6296,249000
"27, Rue Bourdeau",Mercier,4,2,1986,9,6619,399900
"79, Rue Mallette",Mercier,5,3,2010,18,7158,615000
"20, Rue Léopold-Savage",Mercier,4,5,2013,12,10499,1399000
"39, Rue Gaétan",Mercier,5,3,1964,12,5700,549000
"1594, boulevard Saint-Jean-Baptiste",Mercier,4,2,1955,12,315810,620000
"4080, Rue des Amarres",Sainte-Catherine,4,2,1976,9,6138,385000
"3145, boulevard Marie-Victorin",Sainte-Catherine,3,1,1959,6,8050,478000
"3945, Rue Talon",Sainte-Catherine,5,2,1999,12,7437,629900
"585, Rue Séguin",Sainte-Catherine,2,2,1995,11,3054,349900
"865, Rue Séguin",Sainte-Catherine,3,2,1994,13,2967,345000
"920, Croissant Marco-Polo",Sainte-Catherine,5,2,1991,12,6104,375000
"785, Rue Jogues",Sainte-Catherine,2,2,1971,7,3859,320000
"1305, Rue des Sarcelles",Sainte-Catherine,3,3,1998,10,5513,449000
"5585, Rue Rivard",Sainte-Catherine,5,3,2001,15,9052,978000
"1560, Rue des Merisiers",Sainte-Catherine,4,2,1976,11,6300,399000
"1540, Rue des Orioles",Sainte-Catherine,5,2,1996,12,6719,449000
"550, Rue Jogues",Sainte-Catherine,3,2,1971,8,1971,299000
"100 - 110, Rue Lamarche",Sainte-Catherine,2,3,1977,13,6608,499000
"100, Rue Villeneuve",Saint-Constant,3,2,1993,10,2086,289900
"36, Rue Morin",Saint-Constant,5,3,1987,10,8860,499000
"37, Rue Larivière",Saint-Constant,3,2,1991,11,6023,399000
